author,text,hashtags,likes,retweets,replies,created_at,url
///Steki,"CHILL GUY  ISNT JUST A FUNNY NONCHALANT CHARACTER CHILL GUY  REPRESENTS A MOVEMENT, A MINDSET SHIFT TO INSPIRE YOU AND SHED LIGHT ON A PERSPECTIVE THAT MANY TIMES CAN BE MISCONSTRUED.

AS  CHILL GUYS , MANY TIMES WE BRUSH THINGS OFF, OPPORTUNITIES, DREAMS, HAPPINESS.

BUT THE FIGHT",,93,97,93,2024-11-19T20:12:49.000Z,https://x.com/stekisteks/status/1858966682531733966
Jacob Burgardt,Woah  guys  that is way to close to the thing we need to  chill,,4,3,4,2025-05-25T00:55:04.000Z,https://x.com/JacobBurgardtWX/status/1926441854733553947
MSU Chill Guy,"MSUChillGuy Countdown: 99 DAYS! To kick off our countdown to the 2025 Mississippi State football season, we will start with interior defensive lineman Jamarcus Moye. Big #99 signed with Mississippi State out of Tyler Junior College after spending 3 seasons in Tyler, Texas. Diesel",#99,1,2,1,2025-05-23T21:08:05.000Z,https://x.com/MSUChillGuy/status/1926022344637636777
"Wizard Of SoHo (,)","Saw  chill guy  chart randomly.. thats cool. Doesnt matter.. looks nice... i dont really care. Maybe at a billion i might take some profit..

cuz i am a  chill guy .   Chill guys  dont sell we just  chill",,30,30,30,2024-11-19T21:02:41.000Z,https://x.com/wizardofsoho/status/1858979232824828256
UniChartz,"$ CHILLGUY  had a solid run recently and is now consolidating just below a key resistance area. It's still holding above the 100 EMA, which is a good sign for bulls.

If the current support zone holds, we could see another leg up soon. But if it breaks below that support, a deeper",,4,12,4,2025-05-24T20:59:56.000Z,https://x.com/UniChartz/status/1926382682969162079
"Wizard Of SoHo (,)","This is where we are on  chill guy  fyi …
Probably or whatever 

Doesn’t matter … just a  chill guy  being  chill",,51,54,51,2024-11-21T17:20:49.000Z,https://x.com/wizardofsoho/status/1859648173620478089
BSC Gems Alert,"Coinbase   #Coinbase  Should list ______??
(1)  $MASK (2)  $KAS (3)  $Troll (4)  #BABYDOGE (5)   $PI (6)  $DOG  
(7)  $VINE  
(8)  #chillguy  
(9)  $PAWS (10)  $BONK (11)   #MOODENG (12)  $VRA (13)  $PONKE (14)  $BRETT (15)","#Coinbase,#BABYDOGE,#chillguy,#MOODENG",564,119,564,2025-06-01T16:33:07.000Z,https://x.com/BSCGemsAlert/status/1929214637926437155
Adopt A Boxer,"Charlie was spotted living outside for over a year . Lucky for him a rescuer didn’t give up and finally trapped him. He is dog friendly and super sweet . A middle age  guy  who wants to  chill , sofa snuggle and find a  #family . Located on  #Long  Island  #NYC  area.  #adoptme #boxerdogs","#family,#Long,#NYC,#adoptme,#boxerdogs",8,89,8,2025-05-23T22:20:48.000Z,https://x.com/adopt_boxer/status/1926040644520202569
Crypto Analyst,Wow ! $ chillguy  looks amazing . Soon $.15,,17,16,17,2025-05-24T20:41:21.000Z,https://x.com/CryptoA40672341/status/1926378004348858433
Tennis Channel,He’s just a  chill guy @janniksin #RolandGarros,#RolandGarros,42,123,42,2025-05-26T17:10:22.000Z,https://x.com/TennisChannel/status/1927049687082631422
"Wizard Of SoHo (,)","Turning laptop off for the weekend. Stops on the shorts are sets. Bids on  chill guy  and other coins set. 

Cuz I am a  chill guy  and like to be  chill",,48,70,48,2024-11-23T17:01:56.000Z,https://x.com/wizardofsoho/status/1860368195648938081
CHILLGUY on SOL,When I say I got that dog in me but this is the dog im talking about because I am just a  chill guy,,3,13,3,2025-05-24T20:27:52.000Z,https://x.com/chillguy4life/status/1926374613929394248
just a chill guy | fan page,"gemini is  chill .

so great to see  CHILLGUY  become more accessible for people around the world and especially within the U.S. CHILLGUY is now available for trading on Gemini  Get started →  http://bit.ly/4fwyVyf http://",,73,252,73,2024-12-23T21:52:22.000Z,https://x.com/chillguycto/status/1871312922611429499
Bangkok Post,"Chill Guy , the ultimate meme character, symbolises  chill  in every situation that everyone needs to know. #ChillGuy #ChillGuyMeme","#ChillGuy,#ChillGuyMeme",41,122,41,2024-12-05T07:00:00.000Z,https://x.com/BangkokPostNews/status/1864565370520240477
AshRobin,"a message to  @PhillipBankss , the artist behind $ CHILLGUY just take 3 minutes to hear me out on this

I promise you won't regret it

my DMs are open bc I'm just  chill  like that and I like to help people out",,60,40,60,2024-11-25T19:20:09.000Z,https://x.com/ashrobinqt/status/1861127756047655217
just a chill guy | fan page,"this ship is on autopilot, all we have to do is  chill .",,24,53,24,2025-05-29T21:42:50.000Z,https://x.com/chillguycto/status/1928205416070033858
